City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
167,Ugoofaaru,MV,2021-08-05 21:00:03,5.6667,73.0,82.18,77,100,12.44,overcast clouds
168,Turinskaya Sloboda,RU,2021-08-05 21:00:07,57.6232,64.3858,65.97,95,100,7.49,light rain
169,Richards Bay,ZA,2021-08-05 21:00:08,-28.783,32.0377,62.11,92,0,5.84,clear sky
170,Pundaguitan,PH,2021-08-05 21:00:09,6.3711,126.1689,83.55,77,100,9.26,overcast clouds
171,Vao,NC,2021-08-05 21:00:10,-22.6667,167.4833,67.32,58,73,17.63,broken clouds
172,Canandaigua,US,2021-08-05 20:59:04,42.8742,-77.288,81.25,50,24,2.33,few clouds
173,Nikolskoye,RU,2021-08-05 21:00:11,59.7035,30.7861,60.78,85,99,1.52,overcast clouds
174,Mitu,CO,2021-08-05 20:59:13,1.1983,-70.1733,70.27,99,100,0.96,overcast clouds
175,Iaciara,BR,2021-08-05 21:00:12,-14.0958,-46.6317,78.37,26,52,5.35,broken clouds
176,Pochutla,MX,2021-08-05 21:00:12,15.7432,-96.4661,82.81,60,82,6.53,broken clouds
177,Bajil,YE,2021-08-05 21:00:13,15.0584,43.2851,90.79,55,98,5.21,overcast clouds
178,Antalaha,MG,2021-08-05 21:00:14,-14.9003,50.2788,68.74,85,98,10.85,overcast clouds
179,Bouake,CI,2021-08-05 21:00:15,7.6895,-5.0218,71.73,90,39,8.16,scattered clouds
180,Merauke,ID,2021-08-05 21:00:15,-8.4667,140.3333,73.31,87,95,8.68,overcast clouds
181,Saint George,US,2021-08-05 21:00:13,37.1041,-113.5841,111.67,10,0,1.01,clear sky
182,Port Macquarie,AU,2021-08-05 21:00:16,-31.4333,152.9167,41.9,80,0,6.33,clear sky
183,Kavieng,PG,2021-08-05 21:00:17,-2.5744,150.7967,82.26,71,100,2.59,light rain
184,Karangampel,ID,2021-08-05 21:00:17,-6.4622,108.4519,78.71,79,78,9.48,broken clouds
185,Ghanzi,BW,2021-08-05 21:00:17,-21.5667,21.7833,60.58,30,0,7.76,clear sky
186,Avera,US,2021-08-05 21:00:18,33.194,-82.5271,88.75,35,11,6.98,few clouds
187,Sitka,US,2021-08-05 20:56:20,57.0531,-135.33,63.25,77,97,1.86,light rain
188,Goderich,CA,2021-08-05 20:55:32,43.7501,-81.7165,82.04,47,10,10.36,clear sky
189,Bay Roberts,CA,2021-08-05 21:00:18,47.5999,-53.2648,76.24,52,54,10.04,broken clouds
190,Rumoi,JP,2021-08-05 21:00:19,43.9344,141.6428,74.37,90,23,5.1,few clouds
191,Sovetskiy,RU,2021-08-05 21:00:19,61.3614,63.5842,63.61,98,100,4.36,moderate rain
192,Dingle,PH,2021-08-05 21:00:19,10.9995,122.6711,76.73,87,76,7.09,broken clouds
193,Puerto Escondido,MX,2021-08-05 21:00:20,15.85,-97.0667,85.17,74,100,11.18,overcast clouds
194,Castro,BR,2021-08-05 21:00:21,-24.7911,-50.0119,53.85,79,100,6.53,overcast clouds
195,Odienne,CI,2021-08-05 21:00:21,9.51,-7.5692,70.81,96,100,4.5,moderate rain
196,Raudeberg,NO,2021-08-05 21:00:22,61.9875,5.1352,64.0,76,67,5.35,broken clouds
197,Tari,NG,2021-08-05 21:00:23,12.4086,4.4914,79.75,75,95,9.69,light rain
198,Japura,ID,2021-08-05 21:00:23,-0.3167,102.35,75.51,90,100,2.19,overcast clouds
199,Aktash,RU,2021-08-05 21:00:24,50.3,87.7333,40.8,94,89,2.57,overcast clouds
200,Quatre Cocos,MU,2021-08-05 21:00:25,-20.2078,57.7625,67.08,69,91,13.22,overcast clouds
201,Jiayuguan,CN,2021-08-05 21:00:25,39.8167,98.3,72.48,18,97,1.7,overcast clouds
202,Supaul,IN,2021-08-05 21:00:25,26.1167,86.6,83.48,82,100,1.54,overcast clouds
203,Portland,US,2021-08-05 20:58:29,45.5234,-122.6762,89.2,39,12,1.99,few clouds
204,Hasaki,JP,2021-08-05 21:00:26,35.7333,140.8333,77.4,81,35,5.14,scattered clouds
205,Cullman,US,2021-08-05 21:00:27,34.1748,-86.8436,88.29,60,1,3.44,clear sky
206,Mar Del Plata,AR,2021-08-05 21:00:27,-38.0023,-57.5575,57.09,1,0,1.99,clear sky
207,Melita,CA,2021-08-05 21:00:27,49.2681,-100.9967,80.19,38,54,9.86,broken clouds
208,Naze,JP,2021-08-05 21:00:28,28.3667,129.4833,77.56,92,97,27.94,overcast clouds
209,Roebourne,AU,2021-08-05 21:00:29,-20.7833,117.1333,67.15,27,22,19.46,few clouds
210,Zeya,RU,2021-08-05 20:56:38,53.75,127.2667,57.04,98,100,4.54,light rain
211,Tautira,PF,2021-08-05 21:00:31,-17.7333,-149.15,82.42,77,86,12.57,overcast clouds
212,Poli,TZ,2021-08-05 21:00:31,-3.3333,36.8,56.52,83,53,4.61,broken clouds
213,Batagay-Alyta,RU,2021-08-05 21:00:32,67.8006,130.4114,41.88,86,100,15.73,overcast clouds
214,Tilichiki,RU,2021-08-05 21:00:33,60.4667,166.1,47.26,86,100,29.01,light rain
215,East London,ZA,2021-08-05 21:00:33,-33.0153,27.9116,65.39,86,75,3.65,broken clouds
216,Trinidad,BO,2021-08-05 21:00:33,-14.8333,-64.9,90.88,23,0,2.95,clear sky
217,Srikakulam,IN,2021-08-05 20:59:58,18.3,83.9,80.89,72,62,6.89,broken clouds
218,Ivybridge,GB,2021-08-05 21:00:34,50.3904,-3.9191,62.85,93,76,17.81,broken clouds
219,Grindavik,IS,2021-08-05 21:00:35,63.8424,-22.4338,57.56,94,75,8.05,broken clouds
220,Taltal,CL,2021-08-05 21:00:35,-25.4,-70.4833,63.1,61,10,5.19,clear sky
221,Dubbo,AU,2021-08-05 21:00:36,-32.25,148.6167,44.73,93,90,6.91,overcast clouds
222,Moron,AR,2021-08-05 20:58:55,-34.6534,-58.6198,57.09,90,0,3.0,clear sky
223,Kruisfontein,ZA,2021-08-05 21:00:37,-34.0033,24.7314,55.89,97,100,1.77,light rain
224,Margate,GB,2021-08-05 21:00:38,51.3813,1.3862,64.04,95,100,1.99,heavy intensity rain
225,Namatanai,PG,2021-08-05 21:00:38,-3.6667,152.4333,78.31,84,91,9.17,light rain
226,Ormara,PK,2021-08-05 21:00:39,25.2088,64.6357,80.24,88,36,9.22,scattered clouds
227,Qasigiannguit,GL,2021-08-05 21:00:40,68.8193,-51.1922,57.45,71,100,16.22,overcast clouds
228,Mukerian,IN,2021-08-05 21:00:41,31.9506,75.6158,81.27,79,74,4.52,broken clouds
229,Hauterive,FR,2021-08-05 21:00:41,46.0901,3.4459,68.76,85,100,5.68,overcast clouds
230,Quelimane,MZ,2021-08-05 21:00:41,-17.8786,36.8883,66.69,91,3,1.77,clear sky
231,Gunzenhausen,DE,2021-08-05 21:00:42,49.1,10.75,63.48,95,97,5.88,light rain
232,Mlimba,TZ,2021-08-05 21:00:43,-8.8,35.8167,68.31,75,27,2.95,scattered clouds
233,Tual,ID,2021-08-05 21:00:43,-5.6667,132.75,79.81,80,93,20.47,overcast clouds
234,Asyut,EG,2021-08-05 21:00:44,27.181,31.1837,94.19,13,0,6.17,clear sky
235,Rockport,US,2021-08-05 20:59:40,28.0206,-97.0544,87.84,80,1,4.0,clear sky
236,Port Blair,IN,2021-08-05 21:00:45,11.6667,92.75,82.0,85,100,20.27,overcast clouds
237,Kapoeta,SS,2021-08-05 21:00:45,4.7717,33.5903,79.68,43,89,7.76,overcast clouds
238,Ayan,RU,2021-08-05 21:00:46,56.45,138.1667,54.88,91,100,11.59,light rain
