City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Moyale,KE,2021-08-04 15:21:48,3.5167,39.0584,77.47,40,99,13.58
283,Toyoake,JP,2021-08-04 15:21:49,35.0594,137.0137,83.05,80,1,3.74
284,Deputatskiy,RU,2021-08-04 15:21:49,69.3,139.9,40.28,66,33,4.09
285,Maceio,BR,2021-08-04 15:21:50,-9.6658,-35.7353,78.24,73,75,14.97
286,Teya,RU,2021-08-04 15:21:50,60.3778,92.6267,64.54,72,81,2.84
287,Faya,SA,2021-08-04 15:21:51,18.3851,42.4509,77.11,48,80,9.91
288,Limon,CR,2021-08-04 15:21:51,10.0,-83.0333,76.89,94,75,4.61
289,Port Macquarie,AU,2021-08-04 15:21:51,-31.4333,152.9167,51.76,58,0,11.92
290,Kirillov,RU,2021-08-04 15:21:51,59.863,38.3813,67.93,39,9,6.98
291,Kualakapuas,ID,2021-08-04 15:21:52,-3.0091,114.3876,78.96,87,100,4.18
292,Klaksvik,FO,2021-08-04 15:21:52,62.2266,-6.589,58.12,92,85,12.8
293,Padang,ID,2021-08-04 15:20:00,-0.9492,100.3543,77.05,86,96,3.8
294,Harer,ET,2021-08-04 15:21:52,9.3094,42.1258,66.85,65,65,7.81
